City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
337,Kamaishi,JP,39.2667,141.8833,70.75,88,77,5.99,broken clouds
338,Pangnirtung,CA,66.1451,-65.7125,50.0,100,90,0.0,overcast clouds
339,Albufeira,PT,37.0882,-8.2503,73.24,74,12,15.32,few clouds
340,Hamilton,US,39.1834,-84.5333,91.08,68,75,1.99,broken clouds
341,Taywarah,AF,33.35,64.4167,64.78,24,5,5.82,clear sky
342,Vila Velha,BR,-20.3297,-40.2925,77.97,55,40,9.22,scattered clouds
343,Kabugao,PH,18.0217,121.1842,79.07,86,100,5.88,overcast clouds
344,Savannah Bight,HN,16.45,-85.85,86.05,70,100,4.81,overcast clouds
345,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,0,23.02,clear sky
346,Machico,PT,32.7,-16.7667,77.72,79,20,5.75,few clouds
347,Filingue,NE,14.3521,3.3168,94.23,40,100,11.81,overcast clouds
348,Anadyr,RU,64.75,177.4833,52.3,93,90,5.99,fog
349,Colares,PT,38.7992,-9.4469,73.29,74,75,10.0,broken clouds
350,Ajuchitlan,MX,20.7167,-100.0167,74.59,42,0,8.86,clear sky
