City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Vanimo,PG,75.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
409,Keti Bandar,PK,83.14,overcast clouds,24.1447,67.4497,Haji laloo memon house
412,Omboue,GA,73.67,overcast clouds,-1.5746,9.2618,Hotel Olako
413,Sao Filipe,CV,74.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
415,Fort Nelson,CA,71.19,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
417,Nara,JP,79.25,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
418,Sorong,ID,77.13,overcast clouds,-0.8833,131.25,waigo splash hotel
419,Kendrapara,IN,86.29,overcast clouds,20.5042,86.416,Hotel Mayuri Palace
421,Port Blair,IN,82.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
422,Bend,US,85.93,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
425,Garissa,KE,74.41,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
431,Fomboni,KM,76.78,scattered clouds,-12.28,43.7425,Pension Paradis
435,Ipanema,BR,87.28,clear sky,-30.1391,-51.2244,B&B Hospedaria Vila Flores de Moura
436,Kudahuvadhoo,MV,81.88,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
437,Kampong Thum,KH,74.1,overcast clouds,12.7111,104.8887,Sambor Village Hotel
438,Bonthe,SL,77.85,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
442,Rio Grande,BR,75.31,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
444,The Valley,AI,86.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
445,Kismayo,SO,75.76,few clouds,-0.3582,42.5454,Agan-Hotel
446,Faranah,GN,73.09,light rain,10.0404,-10.7434,Chez mon oncle
447,Los Llanos De Aridane,ES,74.12,few clouds,28.6585,-17.9182,Valle Aridane
448,Tutoia,BR,89.58,broken clouds,-2.7619,-42.2744,Pousada Guará's
449,Zhuanghe,CN,72.48,scattered clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
450,Taft,IR,89.55,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
451,Poum,NC,72.18,clear sky,-20.2333,164.0167,Gîte kajeon
453,Kuliyapitiya,LK,80.28,overcast clouds,7.4688,80.0401,Rest House
456,Boa Vista,BR,87.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
459,Kupang,ID,71.13,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
460,Aden,YE,83.3,few clouds,12.7794,45.0367,Sama Emirate Hotel
462,Zaragoza,ES,84.34,clear sky,41.6561,-0.8773,Hotel Goya
463,Port Hawkesbury,CA,77.0,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
464,Kula,TR,75.85,broken clouds,38.5473,28.6498,Anemon Kula Hotel
466,Orchard Homes,US,86.27,haze,46.8633,-114.0484,Broadway Inn Missoula
467,Huron,US,87.6,few clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
472,Pacific Grove,US,79.16,few clouds,36.6177,-121.9166,Lovers Point Inn
476,Loudi,CN,75.85,clear sky,27.7344,111.9944,Till Bright Hotel
478,Netrakona,BD,79.38,light rain,24.8833,90.7167,kurpar gas office
481,Areosa,PT,75.69,few clouds,41.7178,-8.8571,Hotel Flôr de Sal
485,Puerto Carreno,CO,84.72,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
489,Pozoblanco,ES,84.78,scattered clouds,38.3791,-4.8483,Hotel Nomada
490,Sotouboua,TG,82.44,broken clouds,8.5667,0.9833,Auberge Médina
492,Cukai,MY,80.74,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
493,Dois Corregos,BR,82.24,clear sky,-22.3661,-48.3803,Hotel Pousada Aquino Paraiso
494,Itaqui,BR,85.64,clear sky,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
495,Paka,MY,80.53,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
498,Birjand,IR,86.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
500,Warora,IN,78.71,clear sky,20.2333,79.0,Datta mandir ward
501,Kailua,US,82.38,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
502,Korla,CN,88.27,clear sky,41.7597,86.1469,Gulisitan Hotel
503,Arawa,PG,76.23,light rain,-6.2132,155.5367,Coastline Guest House
504,Castenaso,IT,87.76,clear sky,44.5089,11.4698,Hotel NH Bologna Villanova
